path	ext	tables	rows	disagreeing_edges	nil_under_border
words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	docx	1	26	38	38
words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	docx	0	0	0	0
words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	docx	0	0	0	0
words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	docx	1	7	0	0
words/chartset-012/docx/096_Business_Case_Template_Editable_Layout_41fe0bc0.docx	docx	1	20	0	0
words/chartset-013/docx/038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e.docx	docx	0	0	0	0
words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	docx	1	33	72	72
words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	docx	1	22	0	0
words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	docx	0	0	0	0
words/chartset-013/docx/060_Human_Body_Concept_Map_Template_ac872cfb.docx	docx	0	0	0	0
words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	docx	0	0	0	0
words/chartset-013/docx/072_Storyboard_Template_Colored_Theme_28524a15.docx	docx	0	0	0	0
words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	docx	0	0	0	0
words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	docx	0	0	0	0
words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	docx	3	14	0	0
words/chartset-014/docx/011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	docx	1	20	0	0
words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	docx	0	0	0	0
words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	docx	1	26	60	60
words/chartset-014/docx/062_Vocabulary_Concept_Map_Template_2f7c1c09.docx	docx	0	0	0	0
words/chartset-014/docx/063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992.docx	docx	0	0	0	0
words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	docx	0	0	0	0
words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	docx	0	0	0	0
words/chartset-014/docx/076_Storyboard_Template_Gray_Theme_1e5fd5e5.docx	docx	0	0	0	0
words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	docx	0	0	0	0
words/chartset-014/docx/079_Storyboard_Template_Simple_Format_81653703.docx	docx	0	0	0	0
words/drawingset-001/docx/WordArt_Shapes_Arrows_Catalog1.docx	docx	0	0	0	0
