identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
MajCh-Digital-Certificate-Publication-Report__xlsx	xlsx	sheets	sheets/done-014/xlsx/MajCh-Digital-Certificate-Publication-Report.xlsx	328	2.43	0.0074	0.15	67	0	ok		3	sheets-r53-totalsrow;sheets-rest-01;words-r58
AATF-Fact-Sheet-2025__pptx	pptx	slides	slides/done-008/pptx/AATF-Fact-Sheet-2025.pptx	9	2.42	0.2689	0.86	6	2	ok		3	L5-slides;L8-drawing;slides-r53
redac-sas-201403-ppt-portfolio-rev-sim__pptx	pptx	slides	slides/done-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	14	2.42	0.1729	0.82	7	1	ok	middle-left: a fill or background shading the reference has and we do not (1.21% of page, x 0.16-0.44, y 0.62-0.67)	11	dotnet;slides-extra-01;slides-r41;slides-r51;words-fontwork
NAARMO_Mexico_RVSM_Approvals__xlsx	xlsx	sheets	sheets/done-010/xlsx/NAARMO_Mexico_RVSM_Approvals.xlsx	16	2.41	0.1506	0.19	12	0	ok		2	dotnet
dhs-293364__pptx	pptx	slides	slides/done-002/pptx/dhs-293364.pptx	39	2.41	0.0618	0.23	29	0	ok		3	slides-r52;slides-r56
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	docx	words	words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	1	2.37	2.3700	2.37	1	1	ok	top-centre: ink we draw that the reference does not (5.21% of page, x 0.17-0.82, y 0.11-0.20)	0	
PES-Technical-Report-Template_Jan_2019__docx	docx	words	words/done-016/docx/PES-Technical-Report-Template_Jan_2019.docx	14	2.37	0.1693	1.29	1	1	ok	bottom-centre: the same marks in a different colour (19.42% of page, x 0.00-1.00, y 0.56-1.00)	16	chart-fit-r97;dotnet;rtf-heading-r98;rtf-holdover-r87;words-e-01;words-firstpage-r70
PAL Block Intro 2023__pptx	pptx	slides	slides/done-007/pptx/PAL Block Intro 2023.pptx	20	2.32	0.1160	1.49	12	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (9.76% of page, x 0.06-0.94, y 0.41-0.56)	3	dotnet;slides-c-01;slides-sym-01
pres_ioc_phuket__ppt	ppt	slides	slides/ceiling-002/ppt/pres_ioc_phuket.ppt	26	2.30	0.0885	0.69	24	1	ok	middle-left: a fill or background shading the reference has and we do not (1.76% of page, x 0.02-0.17, y 0.28-0.39)	71	chart-slide-r117;dotnet;escher-wordart-census;fontwork-reach;ink-pass-r92;o2-audit-r121
RobertQ_Service__doc	doc	words	words/done-004/doc/RobertQ_Service.doc	4	2.29	0.5725	0.84	3	3	ok	middle-centre: a fill or background shading the reference has and we do not (1.36% of page, x 0.08-0.95, y 0.62-0.64)	2	renderer-parity-sweep-01;words-aschar-band
BUS-Chapter 05__ppt	ppt	slides	slides/done-010/ppt/BUS-Chapter 05.ppt	50	2.27	0.0454	0.26	23	0	ok		8	L5-slides;dotnet;ppt-autofit-r84;slides-b-01;slides-r52;slides-r54
joint_user_outcomes_michael_fullerton_29.06.12__ppt	ppt	slides	slides/done-007/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	20	2.25	0.1125	0.40	2	1	ok	bottom-left: ink missing from ours — a graphic, glyphs or a fill (0.85% of page, x 0.08-0.27, y 0.83-0.89)	8	dotnet;ppt-autofit-r84;slide-table-r113;slides-r103;slides-r52
090_Business_Case_Template_Blue_Theme_108ff0f1__docx	docx	words	words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	1	2.23	2.2300	2.23	1	1	ok	middle-left: marks displaced or reshaped (6.42% of page, x 0.00-0.37, y 0.02-0.98)	0	
Hazard Analysis Template__xls	xls	sheets	sheets/done-006/xls/Hazard Analysis Template.xls	3	2.21	0.7367	1.93	2	0	ok		25	L6-sheets;biff-condfmt-r97;biff-reader-r98;dotnet;ods-notes-r92;ods-residue-r95
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	7	2.19	0.3129	1.44	2	3	ok	top-right: ink missing from ours — a graphic, glyphs or a fill (2.86% of page, x 0.45-0.91, y 0.23-0.34)	1	slides-r62
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx	xlsx	sheets	sheets/done-010/xlsx/DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).xlsx	91	2.19	0.0241	1.60	4	1	ok	top-right: ink missing from ours — a graphic, glyphs or a fill (3.21% of page, x 0.51-1.00, y 0.06-0.18)	3	sheet-last-r100;sheets-pagination-01
servicedesk-plus-overviewfinal__pptx	pptx	slides	slides/done-014/pptx/servicedesk-plus-overviewfinal.pptx	66	2.19	0.0332	0.13	13	0	ok		4	odp-embed-r79;slides-metrics-01
redac-sas-201703-hf-research-division__pptx	pptx	slides	slides/done-013/pptx/redac-sas-201703-hf-research-division.pptx	13	2.18	0.1677	0.90	8	1	ok	top-left: a fill or background shading we draw and the reference does not (5.10% of page, x 0.05-0.30, y 0.12-0.35)	2	slides-b-01;slides-rebase-01
ws_prod-g-doc-Events-2007-Privileges__ppt	ppt	slides	slides/done-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	15	2.15	0.1433	0.68	15	4	ok	bottom-centre: a fill or background shading the reference has and we do not (0.66% of page, x 0.41-0.53, y 0.73-0.79)	0	
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.xlsx	4	2.14	0.5350	1.08	2	0	ok		0	
ws_prod-g-doc-Events-r-6.-ESM__ppt	ppt	slides	slides/done-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	25	2.09	0.0836	0.51	25	0	ok		5	slides-r52;slides-r53;slides-r99
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	docx	words	words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	29	2.08	0.0717	0.49	1	0	ok		2	words-continuous-r72;words-r53
N2_E_Maestroni_Swarm_COP__pptx	pptx	slides	slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30	2.07	0.0690	0.50	11	0	ok		65	chart-axisrot-r91;chart-cat-reverse;chart-fit;chart-hyph-r105;chart-layout;chart-secaxis
SRDMG(16)024_60 GHz onboard airplanes__pptx	pptx	slides	slides/done-012/pptx/SRDMG(16)024_60 GHz onboard airplanes.pptx	26	2.06	0.0792	0.56	10	2	ok	bottom-left: ink we draw that the reference does not (0.85% of page, x 0.21-0.32, y 0.70-0.83)	2	dotnet;odp-master-r70
Air_Boss_Master_List__xlsx	xlsx	sheets	sheets/done-003/xlsx/Air_Boss_Master_List.xlsx	5	2.04	0.4080	1.18	1	2	ok	top-centre: a fill or background shading the reference has and we do not (4.95% of page, x 0.52-0.66, y 0.15-0.49)	1	words-r59
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb__docx	docx	words	words/chartset-006/docx/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.docx	1	2.01	2.0100	2.01	1	1	ok	middle-centre: a fill of the wrong colour (34.86% of page, x 0.07-0.93, y 0.17-0.63)	0	
Application_for_authorisation_as_crowdfunding_service_provider__xlsx	xlsx	sheets	sheets/done-011/xlsx/Application_for_authorisation_as_crowdfunding_service_provider.xlsx	48	2.01	0.0419	0.32	2	11	ok	bottom-centre: ink we draw that the reference does not (2.65% of page, x 0.16-0.56, y 0.85-0.94)	1	sheets-rebase-02
COMSTAC_11_5_2021am_2__pptx	pptx	slides	slides/done-009/pptx/COMSTAC_11_5_2021am_2.pptx	39	2.00	0.0513	0.25	19	0	ok		1	slides-r53
5709.16 ch.40_mgfinal__docx	docx	words	words/done-010/docx/5709.16 ch.40_mgfinal.docx	32	1.99	0.0622	0.83	2	1	ok		17	dotnet;words-b010-01;words-d-01;words-floating-table;words-r51-flies
231164_SystemDesignDocument__docx	docx	words	words/done-014/docx/231164_SystemDesignDocument.docx	28	1.97	0.0704	0.32	1	1	ok	bottom-centre: a fill or background shading the reference has and we do not (1.06% of page, x 0.11-0.89, y 0.94-0.96)	9	L3-docx-reader;rtf-heading-r98;rtf-resid-r80;rtf-style-r97;words-continuous-header-r70;words-continuous-r72
062_Run_chart_cb7476ea__xlsx	xlsx	sheets	sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	2	1.96	0.9800	1.58	1	1	ok	middle-centre: marks displaced or reshaped (18.23% of page, x 0.10-0.91, y 0.25-0.76)	4	L6-sheets;mismatch-classify-01;numfmt-r68
_1___Opatrny_Ales_United_Kingdom_business_opportunities_final__pptx	pptx	slides	slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	25	1.94	0.0776	0.39	23	0	ok		1	slides-sym-01
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx	docx	words	words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	1	1.93	1.9300	1.93	1	1	ok	bottom-centre: marks displaced or reshaped (2.56% of page, x 0.30-0.70, y 0.85-0.93)	0	
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	doc	words	words/done-013/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	9	1.92	0.2133	0.55	5	1	ok	middle-centre: a solid area drawn differently (31.53% of page, x 0.13-0.86, y 0.38-0.87)	2	fonts-r64;words-r58
healthcare-reform-nsa-provider-bulletin__docx	docx	words	words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	5	1.92	0.3840	0.94	5	1	ok		1	L1-text-metrics
Aircraft_Database__xlsx	xlsx	sheets	sheets/done-014/xlsx/Aircraft_Database.xlsx	134	1.91	0.0143	0.17	122	0	ok		7	dotnet;mismatch-classify-01;sheets-d-01;sheets-overflow-01
手机免提系统TSB__doc	doc	words	words/metrics-001/doc/手机免提系统TSB.doc	3	1.88	0.6267	1.22	2	2	ok	middle-centre: marks displaced or reshaped (12.66% of page, x 0.08-0.97, y 0.53-0.78)	50	L4-doc-legacy;dotnet;lineheight-01;odt-sectable-r92;odt-startx-r88;probes
71393_pp7__ppt	ppt	slides	slides/done-007/ppt/71393_pp7.ppt	39	1.87	0.0479	0.50	19	0	ok		6	chart-types-r101;dotnet;slides-paint-01;slides-r52
template-ECSPR-notifications__xlsx	xlsx	sheets	sheets/done-008/xlsx/template-ECSPR-notifications.xlsx	26	1.86	0.0715	0.18	11	11	ok		1	font-class-01
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx	xlsx	sheets	sheets/done-015/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.xlsx	343	1.84	0.0054	0.13	1	1	ok	top-centre: a fill or background shading the reference has and we do not (0.97% of page, x 0.06-0.61, y 0.21-0.23)	0	
02_REDAC_New ATM briefing _March 2017v2__pptx	pptx	slides	slides/done-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	6	1.82	0.3033	0.45	5	0	ok		2	slides-r51
gpp-pr-top-7-office-markets-4q-2023__docx	docx	words	words/done-013/docx/gpp-pr-top-7-office-markets-4q-2023.docx	4	1.82	0.4550	1.16	2	0	ok		12	dotnet;words-inline-effectextent;words-r45;words-r46;words-r53
PAT-047 - Architecture and Detailed Design Assessment__docx	docx	words	words/done-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	4	1.80	0.4500	0.72	2	0	ok		4	odt-frame-r75;rtf-heading-r98;words-b010-01
063_Sales_pipeline_aec57013__xlsx	xlsx	sheets	sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	1	1.79	1.7900	1.79	1	1	ok	bottom-right: ink we draw that the reference does not (2.82% of page, x 0.47-0.89, y 0.74-0.83)	0	
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	xls	sheets	sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	24	1.77	0.0738	0.38	20	0	ok		14	biff-condfmt-r97;biff-reader-r98;chart-geom-r108;chart-inner-r110;chart-label-anchor;ods-draw-r82
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	docx	words	words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	1	1.76	1.7600	1.76	1	1	ok	middle-centre: marks displaced or reshaped (31.16% of page, x 0.04-0.96, y 0.29-0.98)	0	
links-2026__xlsx	xlsx	sheets	sheets/done-011/xlsx/links-2026.xlsx	45	1.73	0.0384	0.38	28	0	ok		2	dotnet;ods-track-r88
2013_11__doc	doc	words	words/done-015/doc/2013_11.doc	8	1.72	0.2150	0.51	4	2	ok	the whole page: marks displaced or reshaped (59.29% of page, x 0.05-0.94, y 0.07-0.90)	2	words-apo-table;words-border-style
FY2018_Q4_UAS_Sightings__xlsx	xlsx	sheets	sheets/extra-001/xlsx/FY2018_Q4_UAS_Sightings.xlsx	302	1.72	0.0057	0.07	300	0	ok		9	dotnet;sheets-extra-01;sheets-r40;sheets-rebase-01
082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125__pptx	pptx	slides	slides/chartset-014/pptx/082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125.pptx	3	1.71	0.5700	0.95	1	2	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (1.75% of page, x 0.38-0.71, y 0.09-0.16)	0	
081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31__pptx	pptx	slides	slides/chartset-014/pptx/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.pptx	3	1.70	0.5667	0.95	1	2	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (1.75% of page, x 0.38-0.71, y 0.09-0.16)	0	
bitesize-writing-a-report__pptx	pptx	slides	slides/done-007/pptx/bitesize-writing-a-report.pptx	15	1.68	0.1120	1.05	12	1	ok	middle-right: ink we draw that the reference does not (5.33% of page, x 0.59-0.83, y 0.41-0.73)	21	chart-inner-r110;dotnet;gate-r111;probes;sheets-r52-condvalue;sheets-r59
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93.xlsx	5	1.67	0.3340	0.83	1	0	ok		0	
079_Storyboard_Template_Simple_Format_81653703__docx	docx	words	words/chartset-014/docx/079_Storyboard_Template_Simple_Format_81653703.docx	1	1.67	1.6700	1.67	1	1	ok	middle-right: marks displaced or reshaped (7.05% of page, x 0.61-0.96, y 0.15-0.55)	0	
Keywords_Mapping_Graphs_and_Charts__xlsx	xlsx	sheets	sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	46	1.66	0.0361	0.16	29	0	ok		49	L7-charts;chart-fit;chart-hyph-r105;chart-label-anchor;chart-resid-r75;clip-seats-r97
Tax factsheet 2022 (1)__pptx	pptx	slides	slides/done-010/pptx/Tax factsheet 2022 (1).pptx	27	1.66	0.0615	1.08	7	0	ok		6	fonts-r64;odp-embed-r79;vision-r68
7-Zulkefli_Part147n66_IKMAS__pptx	pptx	slides	slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	18	1.65	0.0917	0.36	1	1	ok		9	dotnet;slides-r50;slides-rebase-01;slides-subpath-paint;user-review-slides-02;vision-r68
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx	pptx	slides	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	3	1.64	0.5467	0.91	1	2	ok	top-centre: marks displaced or reshaped (4.74% of page, x 0.10-0.89, y 0.02-0.10)	0	
Laser Report 2024 FOIA __Oct (1)__xlsx	xlsx	sheets	sheets/done-016/xlsx/Laser Report 2024 FOIA __Oct (1).xlsx	506	1.63	0.0032	0.02	368	0	ok		5	dotnet;ods-draw-r82;ods-resid-r80;sheets-pagination-01
095_Interwoven_Bars_e5aa46c2__pptx	pptx	slides	slides/chartset-010/pptx/095_Interwoven_Bars_e5aa46c2.pptx	3	1.62	0.5400	0.83	1	2	ok	top-centre: marks displaced or reshaped (4.64% of page, x 0.07-0.88, y 0.02-0.10)	0	
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	3	1.60	0.5333	1.58	1	1	ok	middle-centre: marks displaced or reshaped (12.53% of page, x 0.07-0.90, y 0.14-0.59)	0	
057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c__pptx	pptx	slides	slides/chartset-007/pptx/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	3	1.59	0.5300	0.86	1	2	ok	top-centre: marks displaced or reshaped (5.33% of page, x 0.10-1.00, y 0.02-0.10)	0	
PC1000__xls	xls	sheets	sheets/done-010/xls/PC1000.xls	13	1.59	0.1223	1.15	1	0	ok		33	biff-reader-r98;clip-seats-r97;dotnet;ods-draw-r82;probes;sheet-last-r100
076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835__pptx	pptx	slides	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	3	1.58	0.5267	0.86	1	2	ok	top-centre: marks displaced or reshaped (4.85% of page, x 0.10-0.92, y 0.02-0.10)	0	
arp-sop-300-Exhibit-A-Table-Templates__xlsx	xlsx	sheets	sheets/done-005/xlsx/arp-sop-300-Exhibit-A-Table-Templates.xlsx	11	1.57	0.1427	0.60	9	1	ok		3	ods-draw-r82;ods-resid-r80;sheets-b011-01
055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18__pptx	pptx	slides	slides/chartset-006/pptx/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	3	1.56	0.5200	0.85	1	2	ok	top-centre: marks displaced or reshaped (5.29% of page, x 0.10-0.98, y 0.02-0.10)	0	
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx	xlsx	sheets	sheets/done-015/xlsx/Global_Market_Forecast_2016-2035_Airbus_Data_Set.xlsx	567	1.56	0.0028	1.45	1	1	ok	top-right: ink we draw that the reference does not (2.39% of page, x 0.70-1.00, y 0.14-0.28)	5	odf-rowpitch-r72;ods-band-r75;ods-page-r77;ods-resid-r80;sheets-clip-justify
012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5__pptx	pptx	slides	slides/chartset-008/pptx/012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	3	1.55	0.5167	0.80	1	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (1.34% of page, x 0.07-0.31, y 0.09-0.17)	0	
093_Insightful_Zoom_Chart_22b5464e__pptx	pptx	slides	slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	3	1.53	0.5100	0.88	1	0	ok		0	
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx	pptx	slides	slides/chartset-009/pptx/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	3	1.52	0.5067	0.78	1	2	ok	top-centre: marks displaced or reshaped (4.69% of page, x 0.07-0.87, y 0.02-0.10)	0	
19-06 Assistive Technology TAB Final - 508__docx	docx	words	words/done-012/docx/19-06 Assistive Technology TAB Final - 508.docx	8	1.52	0.1900	0.37	5	1	ok		4	rtf-style-r97
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce__pptx	pptx	slides	slides/chartset-008/pptx/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	3	1.51	0.5033	0.78	1	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (1.34% of page, x 0.07-0.31, y 0.09-0.17)	0	
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021__pptx	pptx	slides	slides/chartset-009/pptx/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	3	1.51	0.5033	0.83	1	2	ok	top-centre: marks displaced or reshaped (4.66% of page, x 0.10-0.87, y 0.02-0.10)	0	
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020__pptx	pptx	slides	slides/chartset-006/pptx/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	3	1.51	0.5033	0.82	1	2	ok	top-centre: marks displaced or reshaped (5.36% of page, x 0.10-0.98, y 0.02-0.10)	0	
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx	docx	words	words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	1	1.50	1.5000	1.50	1	0	ok		0	
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0__pptx	pptx	slides	slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	3	1.50	0.5000	0.90	2	0	ok		0	
FIT26-Presentation-PR-Briefing-Debrief-Airbus__pptx	pptx	slides	slides/done-009/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	9	1.50	0.1667	0.29	4	0	ok		0	
monthly-content-feeder__docx	docx	words	words/done-011/docx/monthly-content-feeder.docx	18	1.50	0.0833	0.43	8	0	ok		0	
016_4-Position_Org_Chart_1d3640b6__pptx	pptx	slides	slides/chartset-013/pptx/016_4-Position_Org_Chart_1d3640b6.pptx	3	1.49	0.4967	0.82	1	2	ok	top-centre: marks displaced or reshaped (5.46% of page, x 0.07-0.97, y 0.02-0.10)	0	
060_Monthly_company_budget_47b2a99a__xlsx	xlsx	sheets	sheets/chartset-011/xlsx/060_Monthly_company_budget_47b2a99a.xlsx	4	1.49	0.3725	0.79	4	0	ok		0	
ws_prod-g-doc-Events-Part-M-presentation__ppt	ppt	slides	slides/done-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	30	1.49	0.0497	0.38	17	1	ok	bottom-centre: marks displaced or reshaped (12.48% of page, x 0.06-0.94, y 0.66-0.85)	11	probes;slides-bullet2-r112;slides-final-r111;slides-r108;slides-r53;slides-size2-r110
021_5-Position_Org_Chart_cb042559__pptx	pptx	slides	slides/chartset-014/pptx/021_5-Position_Org_Chart_cb042559.pptx	3	1.48	0.4933	0.81	1	2	ok	top-centre: marks displaced or reshaped (5.47% of page, x 0.07-0.97, y 0.02-0.10)	0	
FlightLaws__doc	doc	words	words/done-008/doc/FlightLaws.doc	4	1.48	0.3700	1.09	2	0	ok		3	L4-doc-legacy;words-border-style
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx	docx	words	words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	1	1.45	1.4500	1.45	1	0	ok		0	
099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33__pptx	pptx	slides	slides/chartset-006/pptx/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	3	1.44	0.4800	0.78	1	2	ok	top-centre: marks displaced or reshaped (4.97% of page, x 0.11-0.90, y 0.02-0.10)	0	
032_BCG_Growth-Share_Matrix_560d0485__pptx	pptx	slides	slides/chartset-013/pptx/032_BCG_Growth-Share_Matrix_560d0485.pptx	3	1.42	0.4733	1.32	2	1	ok	middle-centre: marks displaced or reshaped (5.05% of page, x 0.12-0.91, y 0.14-0.83)	0	
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	10	1.40	0.1400	0.36	5	0	ok		0	
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	xlsx	sheets	sheets/done-007/xlsx/114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.xlsx	21	1.40	0.0667	0.36	2	3	ok		1	dotnet
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	docx	words	words/done-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	3	1.40	0.4667	0.59	3	0	ok		1	words-r56
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx	docx	words	words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	1	1.39	1.3900	1.39	1	1	ok	top-left: ink we draw that the reference does not (2.89% of page, x 0.04-0.48, y 0.10-0.18)	0	
Fundamentals_Module_1_basics__ppt	ppt	slides	slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	26	1.39	0.0535	0.29	6	0	ok		45	chart-axisrot-r91;dotnet;font-class-01;ppt-autofit-r84;ppt-fit-r85;probes
035_Chemistry_Column_PowerPoint_Chart_45bf8a76__pptx	pptx	slides	slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	3	1.37	0.4567	0.69	2	0	ok		3	slides-r55;slides-r60
047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6__pptx	pptx	slides	slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	4	1.36	0.3400	0.82	1	2	ok	top-centre: marks displaced or reshaped (5.09% of page, x 0.10-0.96, y 0.02-0.10)	0	
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820__docx	docx	words	words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	1	1.35	1.3500	1.35	1	1	ok	top-centre: marks displaced or reshaped (3.42% of page, x 0.10-0.89, y 0.06-0.57)	1	words-hidemark-rowheight
Template Pilot Logbook JAR-FCL V3.0__xls	xls	sheets	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	38	1.34	0.0353	0.44	14	1	ok		43	biff-reader-r98;chart-hyph-r105;chart-label-anchor;chart-resid-r99;dotnet;ink-pass-r92
PI-doc.-no.-2E-Technical-Review-Report__docx	docx	words	words/done-015/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	12	1.33	0.1108	0.52	4	0	ok		5	L3-docx-reader;fonts-r64;fonts-r65;words-catalogue-bias;words-inline-effectextent
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx	pptx	slides	slides/chartset-013/pptx/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.pptx	3	1.32	0.4400	1.15	1	0	ok		0	
461249__docx	docx	words	words/done-004/docx/461249.docx	5	1.31	0.2620	0.57	4	0	ok		3	odt-frame-r75;words-floating-table;words-r51-flies
outlook_of_nigerian_pension_sector__ppt	ppt	slides	slides/done-003/ppt/outlook_of_nigerian_pension_sector.ppt	12	1.31	0.1092	0.24	6	1	ok	top-right: a fill or background shading the reference has and we do not (0.51% of page, x 0.63-0.91, y 0.30-0.32)	21	dotnet;slide-table-r113;slides-b-01;slides-bullet2-r112;slides-c-01;slides-ink-r94
technical-architecture__docx	docx	words	words/done-012/docx/technical-architecture.docx	8	1.31	0.1638	0.48	8	1	ok	top-centre: ink we draw that the reference does not (1.21% of page, x 0.14-0.69, y 0.18-0.20)	8	frame-area-r85;slides-extra-01;words-fontwork;words-r58;words-vml-fontwork
